Onset,Duration,ID,Position,Novelty,OtherTrial,Color,typology,intensity
0,900,N/A,N/A,N/A,N/A,N/A,Real,3
1.8173,0.8006,1,right,old,6,G,N/A,N/A
4.3358,0.7506,2,left,new,N/A,Y,N/A,N/A
6.7877,0.6505,3,right,old,3,B,N/A,N/A
9.2729,0.5838,4,left,old,2,B,N/A,N/A
11.7914,0.5337,5,left,new,N/A,G,N/A,N/A
14.3767,0.5671,6,left,old,8,Y,N/A,N/A
16.9954,0.6505,7,left,old,10,R,N/A,N/A
19.5807,0.6839,8,right,old,5,G,N/A,N/A
22.0492,0.6005,9,left,new,N/A,R,N/A,N/A
24.5844,0.6005,10,right,new,N/A,B,N/A,N/A
27.1197,0.6004,11,left,old,1,B,N/A,N/A
29.6883,0.6338,12,left,new,N/A,G,N/A,N/A
32.3403,0.7506,13,right,new,N/A,R,N/A,N/A
34.692,0.5671,14,left,old,9,Y,N/A,N/A
37.4107,0.7339,15,right,new,N/A,Y,N/A,N/A
39.9293,0.7172,16,right,old,11,R,N/A,N/A
42.4812,0.7172,17,left,new,N/A,R,N/A,N/A
44.8664,0.5671,18,right,old,7,Y,N/A,N/A
47.5351,0.6839,19,left,new,N/A,Y,N/A,N/A
49.9202,0.5337,20,right,old,4,G,N/A,N/A
52.5555,0.6171,21,left,new,N/A,B,N/A,N/A
55.1908,0.7172,22,right,new,N/A,B,N/A,N/A
57.7261,0.7172,23,right,old,12,R,N/A,N/A
60.3447,0.7839,24,right,new,N/A,G,N/A,N/A
